DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h
20140327 299 249 300 34 2.4 107 86
20140328 168 128 171 25 1.7 66 90
20140329 63 39 76 7 0.6 37 95
20140330 64 31 78 8 0.5 58 92
20140331 176 133 183 35 1.8 81 89
20140401 137 104 117 17 0.9 60 125
20140402 130 99 159 21 1 58 135
20140403 65 23 80 6 0.5 36 93
20140404 91 32 132 8 0.6 40 100
20140405 65 22 80 6 0.4 29 100
20140406 96 53 143 12 0.7 58 109
20140407 128 97 176 20 0.8 62 144
20140408 224 174 237 38 1.5 82 184
20140409 159 121 239 19 0.9 50 145
20140410 251 87 386 27 1.3 52 94
20140411 81 60 112 17 1 60 94
20140412 131 100 136 25 1.4 75 136
20140413 207 157 190 25 1.3 71 194
20140414 279 229 263 33 1.9 79 188
20140415 120 91 142 16 1 61 130
20140416 82 51 113 12 0.7 68 80
20140417 120 91 124 19 1.4 71 101
20140418 183 138 124 17 1.5 65 115
20140419 83 61 84 15 0.8 65 87
20140420 81 60 80 7 0.6 54 99
20140421 67 48 79 7 0.6 56 107
20140422 86 58 101 9 0.6 54 143
20140423 151 116 147 21 0.9 41 145
20140424 151 115 133 19 0.9 47 140
20140425 171 129 190 20 1 69 153
20140426 66 37 82 4 0.4 28 86
20140427 73 51 93 6 0.6 48 127
20140428 84 61 98 8 0.7 49 141
20140429 118 89 143 17 0.9 68 175
20140430 136 103 158 19 1 67 200
20140501 159 121 186 19 0.8 41 161
20140502 48 23 46 3 0.3 21 95
20140503 89 38 127 6 0.4 43 93
20140504 55 26 59 3 0.3 17 87
20140505 51 23 53 4 0.4 36 99
20140506 99 74 124 27 0.9 61 117
20140507 85 63 102 12 0.9 45 103
20140508 99 74 107 16 1 46 157
20140509 83 61 106 33 1.3 52 119
20140510 69 50 87 27 1.2 50 107
20140511 46 24 20 3 0.8 29 92
20140512 77 34 68 7 0.6 44 132
20140513 87 52 124 10 0.7 57 109
20140514 56 17 63 7 0.3 26 94
20140515 115 59 181 7 0.5 61 107
20140516 86 45 121 10 0.6 49 128
20140517 122 56 120 25 1 60 184
20140518 171 77 142 23 0.9 56 236
20140519 145 106 158 15 1 45 210
20140520 105 79 130 9 0.9 46 157
20140521 169 107 168 25 1.5 53 234
20140522 180 136 196 37 1.4 61 202
20140523 140 81 156 20 0.8 55 204
20140524 101 76 80 6 1 46 143
20140525 88 65 114 2 0.7 29 95
20140526 76 22 77 5 0.4 55 131
20140527 97 35 145 4 0.4 42 103
20140528 115 30 87 8 0.6 55 176
20140529 119 42 115 10 0.7 60 181
20140530 205 84 171 37 1.6 53 294
20140531 195 114 215 45 2.1 58 260
20140601 164 44 55 2 0.6 26 229
20140602 93 26 43 2 0.4 26 152
20140603 117 33 61 13 0.6 41 179
20140604 123 53 89 9 0.8 45 185
20140605 143 58 93 11 0.8 41 207
20140606 67 49 71 12 1.1 39 75
20140607 50 9 26 2 0.3 27 100
20140608 63 27 58 7 0.7 54 116
20140609 82 27 53 6 0.6 43 138
20140610 89 67 85 6 1.2 42 115
20140611 71 40 41 3 0.7 32 125
20140612 86 24 56 6 0.5 39 143
20140613 117 48 84 8 0.9 41 179
20140614 159 38 68 3 0.6 38 224
20140615 176 101 145 14 1.2 49 241
20140616 165 126 149 3 1 41 203
20140617 116 88 107 3 0.9 35 170
20140618 115 61 72 4 0.7 36 176
20140619 158 121 132 5 1.2 45 159
20140620 86 44 38 2 0.8 27 143
20140621 95 65 63 5 1 34 154
20140622 89 29 41 2 0.6 31 147
20140623 111 23 44 2 0.5 38 172
20140624 158 49 87 6 0.7 52 223
20140625 134 102 125 10 1.2 48 170
20140626 167 127 51 4 1.1 33 207
20140627 74 19 40 3 0.4 34 129
20140628 67 19 45 5 0.4 42 120
20140629 154 42 84 11 1 52 219
20140630 179 73 120 15 1.2 53 244
20140701 117 89 136 17 1 49 160
20140702 77 55 57 3 0.9 28 132
20140703 240 190 103 5 1.3 40 164
20140704 238 188 128 4 1.3 40 199
20140705 163 124 100 4 1.1 38 188
20140706 252 202 155 8 1.4 36 206
20140707 215 165 185 9 1.2 41 195
20140708 138 106 123 9 0.9 40 154
20140709 60 25 69 6 0.6 55 107
20140710 113 27 80 8 0.5 40 174
20140711 81 28 67 5 0.5 40 137
20140712 78 12 35 2 0.3 31 134
20140713 63 16 52 3 0.4 40 115
20140714 154 26 64 4 0.5 43 219
20140715 140 50 106 7 0.6 28 204
20140716 114 86 111 4 0.8 42 170
20140717 175 132 135 4 1.8 41 139
20140718 188 142 107 7 1.7 38 209
20140719 109 82 102 3 0.8 33 168
20140720 118 67 91 4 0.7 26 180
20140721 83 26 43 5 0.5 24 140
20140722 39 12 37 7 0.5 40 78
20140723 62 26 74 6 0.7 59 84
20140724 82 61 112 6 1 68 110
20140725 133 64 91 7 1.2 43 196
20140726 192 94 135 10 1.2 41 257
20140727 197 107 154 18 1 35 262
20140728 160 122 156 9 0.9 33 218
20140729 165 125 149 5 0.8 28 191
20140730 157 120 68 3 1.4 28 170
20140731 245 195 76 3 1.6 36 209
20140801 200 150 128 3 1.3 35 198
20140802 163 124 132 3 1.1 39 220
20140803 145 111 139 2 1 39 174
20140804 46 31 43 3 0.6 36 92
20140805 81 24 50 5 0.6 37 137
20140806 57 31 64 3 0.6 46 106
20140807 160 62 92 10 1.1 45 225
20140808 138 64 103 8 1.1 45 202
20140809 144 80 123 9 1.1 40 208
20140810 125 32 49 3 0.6 33 187
20140811 80 24 48 3 0.5 40 136
20140812 115 25 58 6 0.6 45 177
20140813 80 26 35 2 0.6 34 136
20140814 103 29 44 4 0.6 39 163
20140815 105 35 69 4 0.6 49 166
20140816 157 55 92 6 0.9 49 222
20140817 125 53 88 5 0.8 32 187
20140818 136 57 84 6 0.8 38 200
20140819 150 84 119 6 1 40 215
20140820 166 104 146 14 1.1 41 231
20140821 167 126 169 9 1.1 49 232
20140822 108 51 80 3 0.8 58 169
20140823 153 107 137 5 1.1 55 218
20140824 93 17 38 4 0.4 27 151
20140825 57 16 42 4 0.4 36 108
20140826 75 23 66 5 0.5 56 130
20140827 135 47 107 8 0.7 59 198
20140828 103 77 119 7 0.9 54 135
20140829 98 74 82 4 1 35 158
20140830 170 129 148 4 1.5 58 115
20140831 86 64 49 2 1 30 137
20140901 125 95 83 3 1.6 45 95
20140902 43 20 15 2 0.8 31 85
20140903 58 15 35 5 0.6 38 110
20140904 98 40 91 5 0.8 61 158
20140905 141 86 138 9 1 51 205
20140906 183 138 161 12 1.4 39 185
20140907 200 150 182 10 1.3 44 168
20140908 73 14 30 4 0.3 24 128
20140909 108 36 83 5 0.6 49 169
20140910 109 63 111 11 1.1 57 170
20140911 109 82 124 16 1.4 64 109
20140912 97 73 54 4 1 51 84
20140913 92 67 96 7 0.8 49 150
20140914 66 42 77 3 0.5 48 119
20140915 48 18 48 5 0.4 36 80
20140916 70 38 91 5 0.6 66 52
20140917 70 51 88 4 0.7 61 57
20140918 84 62 94 4 0.7 59 130
20140919 111 84 119 7 0.9 60 121
20140920 158 120 124 5 1.2 53 162
20140921 131 100 119 15 1.7 46 111
20140922 123 94 108 11 2 59 93
20140923 66 48 22 2 1.1 40 19
20140924 48 34 40 2 0.8 45 78
20140925 140 107 130 3 1.3 53 59
20140926 163 124 103 9 1.6 62 50
20140927 43 30 36 3 0.6 42 81
20140928 78 56 107 8 1.2 67 46
20140929 70 51 77 4 0.9 38 65
20140930 51 24 52 7 0.6 39 41
20141001 89 66 77 4 1 57 24
20141002 74 55 51 4 1 46 39
20141003 118 89 108 4 1.6 52 19
20141004 100 75 48 2 1.1 39 52
20141005 42 30 40 2 0.7 30 67
20141006 50 25 50 3 0.5 47 69
20141007 185 140 181 12 1.3 86 83
20141008 309 259 292 10 2.1 102 54
20141009 381 331 353 6 2.3 92 74
20141010 350 300 269 13 2.4 85 101
20141011 240 190 126 7 1.8 61 68
20141012 28 6 9 3 0.2 22 55
20141013 31 13 31 4 0.3 34 54
20141014 69 43 88 8 0.7 61 57
20141015 75 43 99 4 0.6 44 67
20141016 72 34 94 8 0.6 55 72
20141017 123 94 176 11 1.2 104 58
20141018 202 152 229 17 2 115 115
20141019 293 243 313 12 2.5 119 58
20141020 248 198 212 5 1.6 74 56
20141021 66 34 81 19 1.2 57 30
20141022 95 71 136 11 1.3 75 9
20141023 155 118 176 13 1.5 85 24
20141024 267 217 265 11 2.1 88 69
20141025 341 291 327 6 2.4 87 79
20141026 80 59 62 3 0.7 40 63
20141027 56 25 61 11 0.7 52 40
20141028 81 60 106 12 1 69 33
20141029 138 105 161 13 1.3 89 41
20141030 205 155 194 17 1.7 99 24
20141031 202 152 180 10 2.1 89 14
20141101 78 57 86 6 1.1 49 49
20141102 29 7 25 4 0.3 23 57
20141103 52 24 54 5 0.7 44 69
20141104 124 94 134 16 1.4 70 41
20141105 102 76 98 7 1.2 51 59
20141106 32 9 20 3 0.3 21 63
20141107 59 42 68 13 1.2 48 25
20141108 90 67 85 10 1.4 55 52
20141109 79 58 78 7 1.1 57 55
20141110 91 68 87 9 1.3 67 37
20141111 58 34 67 4 0.7 31 52
20141112 41 5 41 3 0.2 10 68
20141113 45 22 45 7 0.7 47 60
20141114 55 33 60 15 1 57 38
20141115 122 93 137 31 2 84 8
20141116 100 75 109 16 1.6 55 51
20141117 41 22 41 14 0.7 45 51
20141118 76 55 93 28 1.7 69 16
20141119 268 218 285 44 3.3 123 6
20141120 342 292 360 29 3.7 136 8
20141121 237 187 239 21 2.8 111 27
20141122 52 31 54 14 0.8 55 37
20141123 155 118 166 22 2.4 91 9
20141124 100 75 112 16 1.8 72 35
20141125 180 136 178 28 2.5 94 15
20141126 282 232 288 38 3.6 120 6
20141127 97 73 108 12 1.2 57 41
20141128 105 79 147 22 1.6 72 26
20141129 267 217 297 19 3.4 92 6
20141130 146 89 241 9 1.3 40 55
20141201 53 10 57 6 0.5 18 53
20141202 21 12 21 10 0.7 34 38
20141203 57 8 63 6 0.3 14 58
20141204 30 7 29 6 0.3 17 60
20141205 45 25 45 16 0.8 40 49
20141206 79 58 91 33 1.8 69 30
20141207 68 49 77 27 1.5 48 50
20141208 76 55 80 30 1.3 60 37
20141209 267 217 280 65 4.8 108 9
20141210 168 127 216 28 2.5 61 59
20141211 38 20 38 15 0.6 32 56
20141212 41 11 41 8 0.4 22 51
20141213 65 42 80 24 1.1 49 33
20141214 108 82 123 43 2.1 75 25
20141215 86 64 117 27 1.5 44 58
20141216 30 7 30 6 0.3 14 54
20141217 90 67 111 33 1.6 63 52
20141218 190 143 194 79 3.9 93 9
20141219 52 31 54 14 1 33 61
20141220 24 9 17 10 0.5 24 47
20141221 36 15 36 13 0.6 30 48
20141222 93 69 114 39 2.1 74 28
20141223 98 73 110 49 2.4 77 22
20141224 31 12 31 17 0.5 32 57
20141225 43 27 43 22 1 53 53
20141226 150 115 155 58 3 92 15
20141227 240 190 236 70 4.1 125 9
20141228 158 121 186 51 2.8 91 45
20141229 126 96 165 41 2.8 83 42
20141230 55 24 61 22 1 51 41
20141231 46 6 46 7 0.3 12 57
20150101 58 41 67 24 1.1 50 44
20150102 69 51 80 31 1.3 60 38
20150103 197 148 193 67 3.2 101 14
20150104 224 174 225 75 3.7 120 22
20150105 139 107 156 57 2.9 70 67
20150106 51 34 51 22 0.8 40 65
20150107 84 62 89 38 1.8 64 27
20150108 163 124 151 49 3 92 11
20150109 98 73 93 32 1.6 61 55
20150110 195 147 174 55 2.8 94 32
20150111 53 37 55 18 0.9 47 44
20150112 153 117 146 43 2.2 72 25
20150113 206 156 183 54 2.8 92 14
20150114 264 214 251 54 3.1 100 6
20150115 378 328 375 34 4.7 111 6
20150116 146 112 120 9 1.6 42 63
20150117 81 60 71 30 1.2 57 51
20150118 92 68 110 30 1.5 52 69
20150119 62 43 74 25 1.3 59 64
20150120 111 84 108 44 2 74 23
20150121 31 19 23 16 0.6 32 62
20150122 128 98 121 39 2 80 26
20150123 256 206 233 61 3.6 121 13
20150124 126 96 145 33 2 70 26
20150125 178 134 100 16 1.7 61 25
20150126 134 102 106 11 1.7 43 59
20150127 28 17 28 14 0.6 29 56
20150128 52 37 47 21 1 49 41
20150129 85 63 77 22 1.2 41 61
20150130 32 12 21 12 0.5 26 63
20150131 42 30 42 19 0.8 43 49
20150201 102 77 98 41 1.9 67 27
20150202 185 139 156 57 2.5 87 15
20150203 153 117 79 29 1.9 61 69
20150204 36 10 32 9 0.4 20 71
20150205 39 27 35 16 0.7 42 70
20150206 88 65 78 30 1.8 72 45
20150207 37 13 26 10 0.4 22 73
20150208 36 24 32 17 0.6 30 71
20150209 142 109 127 48 1.9 79 40
20150210 161 123 138 47 2.4 94 50
20150211 58 41 56 23 1 44 76
20150212 45 32 42 16 0.8 44 75
20150213 158 121 131 34 2.1 83 49
20150214 286 236 239 55 3.2 109 62
20150215 334 284 308 78 4.4 113 37
20150216 159 121 156 31 2.3 54 69
20150217 41 22 41 10 0.5 28 77
20150218 64 46 57 18 0.7 31 80
20150219 268 218 248 55 1.5 42 60
20150220 183 138 29 9 1.4 38 53
20150221 202 152 172 9 1.6 32 69
20150222 163 42 277 4 0.4 14 73
20150223 82 55 114 21 0.8 34 67
20150224 203 153 213 34 2.1 59 55
20150225 103 77 110 10 1.1 32 80
20150226 39 13 26 6 0.4 18 77
20150227 37 23 37 13 0.7 30 58
20150228 162 123 126 8 1.3 40 33
20150301 70 45 90 12 0.9 39 76
20150302 73 53 82 17 1.4 44 74
20150303 48 8 48 2 0.3 10 76
20150304 41 24 41 12 0.6 31 73
20150305 144 110 129 47 1.6 59 65
20150306 245 195 217 59 2.1 82 57
20150307 281 231 246 41 2.4 83 92
20150308 169 129 148 22 1.4 53 79
20150309 40 7 28 3 0.3 14 79
20150310 45 30 45 13 0.8 39 78
20150311 52 37 52 13 1 46 75
20150312 83 61 79 21 1.2 60 60
20150313 86 64 82 21 1.3 60 80
20150314 127 97 119 40 1.9 83 42
20150315 135 103 198 26 1.7 73 93
20150316 257 207 295 33 2 85 67
20150317 233 183 222 16 1.7 57 102
20150318 69 47 89 12 0.8 50 82
20150319 127 81 203 11 1.1 69 72
20150320 124 44 199 6 0.5 46 98
20150321 77 19 103 4 0.3 28 87
20150322 77 20 104 4 0.3 21 87
20150323 67 34 84 7 0.7 43 89
20150324 102 77 122 29 1.8 68 88
20150325 161 123 158 41 1.8 79 107
20150326 138 105 155 21 1 56 138
20150327 138 83 115 18 0.8 55 128
20150328 163 64 277 8 0.5 33 109
20150329 166 75 282 17 1.1 67 111
20150330 197 148 338 29 1.4 63 129
20150331 202 152 191 21 2.3 54 107
20150401 80 59 78 5 0.7 49 79
20150402 50 35 19 4 0.7 26 88
20150403 62 28 40 4 0.6 27 114
20150404 84 62 75 5 0.6 36 134
20150405 74 53 99 3 0.5 30 104
20150406 38 20 32 2 0.3 14 76
20150407 45 23 39 4 0.3 23 89
20150408 126 96 123 12 0.8 49 99
20150409 212 162 190 17 1.2 59 120
20150410 200 150 186 9 1.1 62 126
20150411 188 141 77 16 1.7 46 130
20150412 44 12 26 2 0.3 12 87
20150413 67 26 39 3 0.4 22 120
20150414 74 54 84 5 0.7 54 114
20150415 168 109 286 14 0.9 70 101
20150416 91 26 132 3 0.2 13 95
20150417 112 67 173 16 0.7 55 100
20150418 182 138 273 27 1.5 89 99
20150419 91 60 133 6 0.6 30 100
20150420 90 67 112 7 0.8 43 127
20150421 90 63 129 8 0.6 44 111
20150422 84 43 100 8 0.6 49 141
20150423 79 54 108 11 0.6 49 115
20150424 103 52 155 7 0.6 47 139
20150425 115 72 158 12 0.8 64 177
20150426 161 98 182 20 1 53 226
20150427 114 81 134 12 0.9 46 175
20150428 78 43 68 5 0.7 39 134
20150429 150 115 136 11 1.3 48 196
20150430 149 114 146 11 1.1 43 209
20150501 165 125 141 13 1.1 45 171
20150502 88 45 68 3 0.6 30 145
20150503 72 40 94 2 0.4 24 113
20150504 66 23 65 4 0.3 20 119
20150505 72 43 94 7 0.5 37 114
20150506 60 19 70 3 0.3 24 100
20150507 89 42 129 6 0.6 37 119
20150508 83 52 115 11 1 37 119
20150509 55 39 52 7 1 33 100
20150510 49 34 35 4 1.3 46 46
20150511 42 24 20 2 0.8 30 84
20150512 54 19 44 2 0.5 41 105
20150513 98 57 133 4 0.8 66 158
20150514 57 20 62 5 0.3 29 108
20150515 67 23 47 3 0.4 26 120
20150516 116 46 96 8 0.7 43 178
20150517 166 126 182 15 1.2 43 165
20150518 75 55 93 3 0.5 33 105
20150519 49 11 49 2 0.3 16 93
20150520 63 16 37 2 0.3 22 116
20150521 91 33 84 6 0.5 43 149
20150522 137 52 89 12 0.8 41 201
20150523 179 95 139 16 1 53 244
20150524 178 115 164 16 1.2 56 243
20150525 203 101 166 24 1.2 47 281
20150526 191 87 149 19 0.9 38 256
20150527 160 92 141 11 0.9 33 225
20150528 151 116 151 23 1.2 36 197
20150529 104 61 94 5 0.8 42 164
20150530 136 54 90 6 0.8 39 200
20150531 153 55 102 15 0.9 44 218
20150601 159 88 166 14 1 46 224
20150602 103 30 63 4 0.5 26 163
20150603 75 32 101 6 0.5 36 128
20150604 70 51 90 7 3.4 55 96
20150605 68 49 52 5 6.8 45 65
20150606 79 25 62 3 5 32 135
20150607 43 14 32 4 2.6 30 86
20150608 69 18 35 4 0.5 35 123
20150609 134 49 87 15 1.1 49 197
20150610 100 75 74 4 1.1 34 154
20150611 48 20 25 3 0.6 21 96
20150612 44 8 22 3 0.4 22 87
20150613 65 11 27 3 0.4 18 118
20150614 98 19 37 3 0.5 29 158
20150615 166 85 121 15 1.2 40 231
20150616 177 104 144 12 1.2 50 242
20150617 126 42 67 3 0.8 36 189
20150618 53 19 32 2 0.5 28 103
20150619 35 14 33 2 0.5 24 70
20150620 103 23 39 2 0.6 37 163
20150621 137 41 73 5 0.6 39 201
20150622 163 90 117 16 1.1 38 228
20150623 231 181 178 15 1.7 39 238
20150624 159 121 123 9 1.1 43 190
20150625 164 125 111 6 1 51 128
20150626 139 106 23 2 0.9 24 200
20150627 120 89 51 4 0.8 32 182
20150628 197 148 57 8 1.2 34 219
20150629 154 118 39 5 1.1 42 178
20150630 52 15 20 2 0.4 27 102
20150701 41 18 38 3 0.4 34 82
20150702 46 8 20 4 0.3 28 92
20150703 116 24 60 11 0.9 34 178
20150704 92 33 59 6 0.7 45 150
20150705 160 62 71 9 1 36 225
20150706 156 69 76 10 1.1 33 221
20150707 160 67 86 7 0.9 32 225
20150708 175 125 132 8 1.1 35 240
20150709 172 72 92 11 0.8 37 237
20150710 145 50 82 9 0.7 32 210
20150711 181 103 126 10 1.1 35 246
20150712 200 108 158 5 0.9 46 267
20150713 176 49 84 3 0.6 43 241
20150714 147 35 65 4 0.6 30 212
20150715 85 34 62 3 0.6 47 142
20150716 54 37 47 2 0.7 29 105
20150717 50 35 43 2 0.8 32 91
20150718 78 47 30 2 0.8 26 134
20150719 89 66 33 2 0.9 32 124
20150720 118 89 144 2 0.9 33 142
20150721 176 133 0 2 1.1 33 151
20150722 110 62 55 2 0.7 35 171
20150723 70 41 54 2 0.8 48 123
20150724 138 50 77 2 0.9 46 201
20150725 158 90 108 3 1 38 223
20150726 151 104 123 4 1 33 216
20150727 130 75 133 3 0.9 33 192
20150728 109 52 76 2 0.8 30 169
20150729 138 86 55 2 0.9 35 201
20150730 75 44 52 2 0.9 28 129
20150731 85 26 41 2 0.7 26 142
20150801 90 67 72 3 1.3 47 100
20150802 102 74 88 2 1.2 27 162
20150803 82 60 33 4 1.1 33 101
20150804 110 21 54 4 0.5 32 171
20150805 127 64 102 3 1 40 189
20150806 119 58 95 2 0.8 31 180
20150807 119 90 0 4 1.1 33 167
20150808 110 40 72 3 0.7 34 171
20150809 152 53 85 3 0.8 37 217
20150810 112 42 80 2 0.7 38 173
20150811 175 91 128 6 1.4 36 240
20150812 161 81 129 4 1 36 226
20150813 202 120 160 7 1.3 41 275
20150814 119 58 95 4 0.8 35 180
20150815 80 22 54 3 0.6 36 135
20150816 201 38 89 6 0.7 40 270
20150817 145 80 161 8 1 40 209
20150818 90 48 82 3 0.8 34 147
20150819 97 51 65 2 0.8 38 156
20150820 100 33 51 2 0.6 26 160
20150821 94 14 37 2 0.4 25 152
20150822 56 17 38 4 0.6 20 107
20150823 53 21 33 4 0.8 23 103
20150824 55 13 28 2 0.5 22 106
20150825 50 14 27 2 0.5 23 99
20150826 61 12 27 2 0.4 23 113
20150827 60 12 26 2 0.4 25 111
20150828 70 16 38 3 0.5 24 124
20150829 118 28 48 2 0.6 21 179
20150830 74 28 32 2 0.9 25 128
20150831 37 25 29 2 0.7 25 73
20150901 34 11 20 2 0.5 20 67
20150902 44 10 19 2 0.4 20 87
20150903 74 15 30 2 0.5 19 128
20150904 64 46 0 3 1.5 26 101
20150905 44 18 20 2 0.7 23 88
20150906 63 17 34 2 0.5 30 115
20150907 84 25 44 3 0.7 38 140
20150908 104 52 82 6 0.9 53 164
20150909 50 32 50 3 0.7 40 94
20150910 37 8 14 2 0.4 29 41
20150911 35 9 16 2 0.4 26 69
20150912 34 9 24 2 0.4 27 68
20150913 57 20 51 3 0.6 45 105
20150914 89 66 105 10 0.9 58 145
20150915 140 105 134 13 1.2 62 204
20150916 169 128 152 8 1.2 62 180
20150917 201 151 166 10 1.3 69 181
20150918 102 76 77 3 0.9 49 110
20150919 69 23 51 3 0.6 55 95
20150920 114 86 112 9 1 51 146
20150921 133 101 134 17 1.3 67 176
20150922 179 135 0 10 1.5 60 108
20150923 57 32 60 2 0.7 45 98
20150924 124 94 102 4 1.2 53 121
20150925 49 22 44 3 0.6 39 82
20150926 74 34 72 7 0.7 48 128
20150927 73 48 85 3 0.7 58 113
20150928 68 49 62 4 1.3 46 59
20150929 62 44 0 3 1.1 45 20
20150930 48 30 0 3 0.7 38 48
20151001 33 14 29 2 0.3 25 65
20151002 59 30 68 3 0.6 47 88
20151003 62 28 69 4 0.7 49 85
20151004 149 114 155 10 1.3 77 125
20151005 272 222 244 9 1.7 80 180
20151006 343 293 327 7 2 84 200
20151007 310 260 83 8 1.8 76 128
20151008 35 11 28 2 0.3 23 70
20151009 39 16 39 3 0.4 29 64
20151010 27 8 23 2 0.3 17 54
20151011 37 10 25 2 0.3 21 73
20151012 60 18 47 3 0.5 48 70
20151013 84 35 73 6 0.8 67 68
20151014 135 103 147 16 2 96 66
20151015 143 109 147 9 1.4 91 123
20151016 253 203 236 13 2.1 111 159
20151017 344 294 0 13 2.5 119 97
20151018 64 46 68 7 0.8 41 50
20151019 78 57 103 6 0.9 61 46
20151020 99 74 113 9 1.4 65 15
20151021 70 51 77 2 0.9 41 28
20151022 54 29 49 2 0.7 43 25
20151023 74 54 77 3 0.9 53 45
20151024 75 55 76 6 1 53 51
20151025 74 37 84 10 0.9 59 23
20151026 63 28 75 2 0.5 29 51
20151027 48 15 48 3 0.5 37 52
20151028 30 8 20 3 0.3 24 57
20151029 30 7 22 3 0.3 20 59
20151030 58 25 52 4 0.7 46 44
20151031 73 43 70 5 0.8 58 42
20151101 98 72 106 7 1 78 39
20151102 102 76 116 8 1.4 78 44
20151103 199 149 181 16 1.9 90 63
20151104 260 210 0 15 2 108 29
